URL,Good,Bad,Datetime
https://www.facebook.com/,2,1,2024-12-09 16:36:47
https://www.youtube.com/watch?v=d25uznJ6yVk&list=RDd25uznJ6yVk&start_radio=1,1,1,2024-12-09 16:37:25
https://github.com/hoainhanpro/PharmacyProject/graphs/contributors,2,0,2024-12-09 16:52:08
